COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03002002;AGOST;21/01/2013;PB;0
03002002;AGOST;21/01/2013;PM10;7
03002002;AGOST;21/01/2013;PM2.5;
03002002;AGOST;21/01/2013;NI;1.4
03002002;AGOST;22/01/2013;AS;
03002002;AGOST;22/01/2013;BAP;
03002002;AGOST;22/01/2013;CD;
03002002;AGOST;22/01/2013;PB;
03002002;AGOST;22/01/2013;PM10;6
03002002;AGOST;22/01/2013;PM2.5;
03002002;AGOST;22/01/2013;NI;
03002002;AGOST;23/01/2013;AS;0.05
03002002;AGOST;23/01/2013;BAP;
03002002;AGOST;23/01/2013;CD;0.05
03002002;AGOST;23/01/2013;PB;0
03002002;AGOST;23/01/2013;PM10;7
03002002;AGOST;23/01/2013;PM2.5;
03002002;AGOST;23/01/2013;NI;1.4
03002002;AGOST;24/01/2013;AS;
03002002;AGOST;24/01/2013;BAP;
03002002;AGOST;24/01/2013;CD;
03002002;AGOST;24/01/2013;PB;
03002002;AGOST;24/01/2013;PM10;12
03002002;AGOST;24/01/2013;PM2.5;
03002002;AGOST;24/01/2013;NI;
03002002;AGOST;25/01/2013;AS;
03002002;AGOST;25/01/2013;BAP;
03002002;AGOST;25/01/2013;CD;
03002002;AGOST;25/01/2013;PB;
03002002;AGOST;25/01/2013;PM10;8
03002002;AGOST;25/01/2013;PM2.5;
03002002;AGOST;25/01/2013;NI;
03002002;AGOST;26/01/2013;AS;
03002002;AGOST;26/01/2013;BAP;
03002002;AGOST;26/01/2013;CD;
03002002;AGOST;26/01/2013;PB;
03002002;AGOST;26/01/2013;PM10;11
03002002;AGOST;26/01/2013;PM2.5;
03002002;AGOST;26/01/2013;NI;
03002002;AGOST;27/01/2013;AS;0.05
03002002;AGOST;27/01/2013;BAP;
03002002;AGOST;27/01/2013;CD;0.05
03002002;AGOST;27/01/2013;PB;0
03002002;AGOST;27/01/2013;PM10;10
03002002;AGOST;27/01/2013;PM2.5;
03002002;AGOST;27/01/2013;NI;1.4
03002002;AGOST;28/01/2013;PM2.5;
03002002;AGOST;28/01/2013;PB;
03002002;AGOST;28/01/2013;AS;
03002002;AGOST;28/01/2013;PM10;13
03002002;AGOST;28/01/2013;CD;
03002002;AGOST;28/01/2013;NI;
03002002;AGOST;28/01/2013;BAP;
03002002;AGOST;29/01/2013;AS;
03002002;AGOST;29/01/2013;BAP;
03002002;AGOST;29/01/2013;CD;
03002002;AGOST;29/01/2013;PB;
03002002;AGOST;29/01/2013;PM10;22
03002002;AGOST;29/01/2013;PM2.5;
03002002;AGOST;29/01/2013;NI;
03002002;AGOST;31/01/2013;BAP;
03002002;AGOST;31/01/2013;CD;
03002002;AGOST;31/01/2013;NI;
03002002;AGOST;31/01/2013;AS;
03002002;AGOST;31/01/2013;PM2.5;10
03002002;AGOST;31/01/2013;PB;
03002002;AGOST;31/01/2013;PM10;
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;PM10;4
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;O3;60
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;NOX;23
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;SO2;1
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;NO;8
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;CO;0.1
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;01/01/2013;NO2;11
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;PM10;8
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;O3;51
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;NOX;30
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;NO2;20
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;NO;6
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;CO;0.3
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;02/01/2013;SO2;3
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;SO2;2
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;PM10;13
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;O3;43
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;NI;5
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;NOX;38
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;NO2;26
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;NO;8
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;03/01/2013;CO;0.3
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;PM10;10
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;O3;45
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;SO2;0
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;NO2;17
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;NO;8
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;CO;0.3
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;04/01/2013;NOX;30
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;SO2;1
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;CO;0.3
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;NO;9
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;NO2;15
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;NOX;28
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;NI;1.4
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;O3;60
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;PM10;5
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;05/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;NOX;19
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;O3;58
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;PM10;7
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;SO2;1
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;CO;0.3
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;NO;5
03009006;ALCOI - VERGE DELS LLIRIS;06/01/2013;NO2;12
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;CO;
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;NO;3
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;NO2;23
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;SO2;1
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;O3;51
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;PM10;10
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;07/01/2013;NOX;28
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;CO;
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;NO;4
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;NO2;24
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;SO2;3
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;NI;3
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;O3;48
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;PM10;12
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;08/01/2013;NOX;31
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;CO;0.2
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;NO;5
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;NO2;15
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;SO2;4
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;O3;52
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;PM10;13
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;09/01/2013;NOX;22
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;CO;0.1
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;NO;5
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;NO2;12
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;SO2;5
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;NI;1.4
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;O3;59
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;PM10;7
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;10/01/2013;NOX;20
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;NO2;19
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;NOX;25
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;O3;42
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;PM10;8
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;NO;4
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;SO2;3
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;CO;0.2
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;11/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;CO;0.2
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;NO;2
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;NO2;13
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;SO2;1
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;NI;1.4
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;O3;54
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;PM10;7
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;12/01/2013;NOX;17
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;CO;0.2
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;NO;1
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;NO2;6
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;SO2;2
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;O3;73
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;PM10;3
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;13/01/2013;NOX;8
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;CO;0.3
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;NO;3
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;NO2;13
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;SO2;2
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;NI;1.4
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;O3;62
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;PM10;5
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;14/01/2013;NOX;17
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;CO;0.3
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;NO;4
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;NO2;13
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;SO2;1
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;O3;62
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;PM10;8
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;15/01/2013;NOX;19
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;NO;3
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;NO2;9
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;NOX;13
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;NI;1.4
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;O3;64
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;PM10;8
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;SO2;2
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;CO;0.1
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;16/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;CO;0.1
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;NO;2
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;NO2;6
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;SO2;2
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;O3;65
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;PM10;5
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;17/01/2013;NOX;9
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;CO;0.1
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;NO;3
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;NO2;6
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;SO2;3
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;NI;1.4
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;O3;57
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;PM10;7
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;18/01/2013;NOX;10
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;AS;
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;BAP;0.04
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;CO;0.1
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;CD;
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;NO;2
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;NO2;4
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;SO2;2
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;NI;
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;O3;70
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;PM10;10
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;PB;
03009006;ALCOI - VERGE DELS LLIRIS;19/01/2013;NOX;6
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;AS;0.05
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;BAP;
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;CO;0.2
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;NO;2
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;NO2;3
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;SO2;1
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;NI;1.4
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;O3;72
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;PM10;4
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;PM2.5;
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;PB;0
03009006;ALCOI - VERGE DELS LLIRIS;20/01/2013;NOX;5
03009006;ALCOI - VERGE DELS LLIRIS;21/01/2013;CD;0.05
03009006;ALCOI - VERGE DELS LLIRIS;21/01/2013;NO;3
03009006;ALCOI - VERGE DELS LLIRIS;21/01/2013;NO2;11
03009006;ALCOI - VERGE DELS LLIRIS;21/01/2013;NOX;15
03009006;ALCOI - VERGE DELS LLIRIS;21/01/2013;NI;1.4
